date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
12-Mar-1925,1925,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,"FATAL, right forearm severed, lacerations from buttocks to heel L",15h15,,,,,,1920,M,16,0–17,Yes,Swimming/Wading,Unprovoked
10-Mar-1925,1925,PAPUA NEW GUINEA,Central Province,Hula,Swimming,FATAL,,,,,,,1920,M,,Unknown,Yes,Swimming/Wading,Unprovoked
Reported 27-Jan-1925,1925,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,Lacerations to arm,,,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
08-Jan-1925,1925,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'","Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",,2.1 m [7'] shark,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
1925,1925,FIJI,Viti Levu Island,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,"Both arms bitten, surgically amputated",,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
25-Nov-1924,1924,MEXICO,Tamaulipas,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,FATAL,,1.8 m shark,,,,,1920,F,,Unknown,Yes,Other/Unknown,Unprovoked
24-Nov-1924,1924,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water",Knee bitten,After midnight,,,,,,1920,M,35,30–44,No,Other/Unknown,Unprovoked
21-Nov-1924,1924,USA,Puerto Rico,Santurce,Bathing,"FATAL, hand severed, both legs & arms bitten & nearly severed",Late afternon,,,,,,1920,M,35,30–44,Yes,Swimming/Wading,Unprovoked
Reported 31-Oct-1924,1924,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,Abrasions PROVOKED ATTACK,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Provoked
18-Oct-1924,1924,AUSTRALIA,Victoria,Port Melbourne,Bathing,Leg bitten,,10' shark,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
31-Jul-1924,1924,USA,South Carolina,"Folly Island, near Charleston",Standing,Left knee & leg bitten. (Tooth fragment recovered from kneecap),,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols.",,,,,1920,M,,Unknown,No,Other/Unknown,Unprovoked
14-Jul-1924,1924,ENGLAND,Dorset,Weymouth,Fishing for mackerel,Arms broken by hooked shark PROVOKED INCIDENT,,12' shark,,,,,1920,M,,Unknown,No,Fishing,Provoked
04-Jul-1924,1924,USA,California,"Newport Beach, Orange County",Fishing,"No injury, shark tore hole in the side of the boat",,,,,,,1920,M,14,0–17,No,Fishing,Watercraft
18-Jun-1924,1924,USA,Florida,"Bayboro, Pinellas County",Removing shark from a net,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,Evening,,,,,,1920,M,,Unknown,No,Other/Unknown,Provoked
25-Apr-1924,1924,AUSTRALIA,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore","FATAL, partial remains recovered",Afternoon,,,,,,1920,M,20,18–29,Yes,Swimming/Wading,Unprovoked
22-Apr-1924,1924,PANAMA,150 miles offshore,,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller","Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",,,,,,,1920,M,21,18–29,No,Swimming/Wading,Unprovoked
20-Apr-1924,1924,AUSTRALIA,Western Australia,Fremantle,Swimming,Abrasions,,Questionable,,,,,1920,M,,Unknown,Unknown,Swimming/Wading,Questionable
Reported 28-Mar-1924,1924,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,"Left arm severed, leg bitten",,,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
24-Mar-1924,1924,SPAIN,Galica,Sisargas Islands,Fishing,"No injury to occupants, shark bit boat",,3.5 m shark,,,,,1920,Unknown,,Unknown,No,Fishing,Watercraft
13-Feb-1924,1924,AUSTRALIA,New South Wales,Bronte,Bathing in 5' of water,"Legs severely bitten, surgically amputated",19h00,,,,,,1920,F,30,30–44,No,Swimming/Wading,Unprovoked
08-Feb-1924,1924,AUSTRALIA,Queensland,Currumbin,Bathing,Probable drowning & scavenging,16h00,Shark involvement prior to death unconfirmed,,,,,1920,M,,Unknown,Unknown,Swimming/Wading,Questionable
29-Jan-1924,1924,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Swimming,FATAL,15h15,,,,,,1920,M,22,18–29,Yes,Swimming/Wading,Unprovoked
25-Jan-1924,1924,SOUTH AFRICA,Eastern Cape Province,"St. George’s Strand, Port Elizabeth",Swimming,Foot lacerated,Afternoon,,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
09-Jan-1924,1924,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,"FATAL, right thigh severely bitten, left arm lacerated",16h00,3 m [10'] shark,,,,,1920,M,16,0–17,Yes,Swimming/Wading,Unprovoked
12-Dec-1923,1923,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",Swimming,Lacerations to leg,,,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
02-Dec-1923,1923,AUSTRALIA,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water","FATAL, disappeared, thought to have been taken by a shark",,,,,,,1920,M,,Unknown,Yes,Fishing,Unprovoked
23-Nov-1923,1923,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",,,,,,,1920,M,,Unknown,Yes,Other/Unknown,Unprovoked
02-Nov-1923,1923,AUSTRALIA,New South Wales,Bellinger Head,Fishing,FATAL,,Shark involvement suspected but not confirmed,,,,,1920,M,,Unknown,Unknown,Fishing,Questionable
20-Oct-1923,1923,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",,Shark involvement prior to death unconfirmed,,,,,1920,M,,Unknown,Unknown,Boating,Questionable
17-Oct-1923,1923,AUSTRALIA,New South Wales,"Black Head, south of Taree",Fishing,"No injury to occupants, shark bit boat",,"""a very large shark""",,,,,1920,Unknown,,Unknown,No,Fishing,Watercraft
16-Oct-1923,1923,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,"Arm severed, but survived",,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
08-Aug-1923,1923,GUYANA,Demerara County,Off the Demerara River,Fishing,Puncture wounds to left leg,01h00,,,,,,1920,M,,Unknown,No,Fishing,Unprovoked
Reported 02-Jul-1923,1923,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,non-fatal,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
16-Jun-1923,1923,AUSTRALIA,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore","FATAL, taken by shark. Two other men drowned, only 1 man survived",,,,,,,1920,M,,Unknown,Yes,Swimming/Wading,Watercraft
06-Jun-1923,1923,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,"No injury to occupants, shark rammed boat",,,,,,,1920,Unknown,,Unknown,No,Boating,Watercraft
Reported 23-May-1923,1923,AUSTRALIA,Western Australia,"Southgates, near Geraldton",Wading,Minor puncture wounds to foot,,,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
22-May-1923,1923,AUSTRALIA,Queensland,Great Barrier Reef,Diving?,FATAL,Midday,,,,,,1920,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
18-Mar-1923,1923,AUSTRALIA,Queensland,"Ross River, Townsville",Diving,Lacerations to right thigh and knee,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
Feb-1923,1923,USA,Puerto Rico,San Juan,Swimming,"Right calf, right side of abdomen & left wrist & hand bitten",,,,,,,1920,M,25,18–29,No,Swimming/Wading,Unprovoked
27-Jan-1923,1923,AUSTRALIA,Western Australia,Bunbury,,Death may have been due to drowning,,Shark involvement prior to death was not confirmed,,,,,1920,M,,Unknown,Unknown,Other/Unknown,Questionable
27-Jan-1923,1923,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,"FATAL, back of thigh bitten",,,,,,,1920,M,13,0–17,Yes,Swimming/Wading,Unprovoked
14-Jan-1923,1923,CUBA,Caribbean Sea,20 miles from Havana,seaplane Columbus ditched in the sea,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",,"Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman",,,,,1920,M,,Unknown,Unknown,Other/Unknown,Questionable
1923,1923,USA,New Jersey,"Sea Bright, Monmouth County",Fishing,No injury to occupant Shark struck boat,,,,,,,1920,M,,Unknown,No,Fishing,Watercraft
1923-1924,1923,PHILIPPINES,Manila Bay,Fort Drum,,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died",,,,,,,1920,M,,Unknown,Yes,Other/Unknown,Unprovoked
1923,1923,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,Shark's tail broke his leg. PROVOKED INCIDENT,,,,,,,1920,M,,Unknown,No,Fishing,Provoked
1923,1922,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,Shark's tail broke his leg. PROVOKED INCIDENT,,,,,,,1920,M,,Unknown,No,Fishing,Provoked
14-Dec-1922,1922,USA,Puerto Rico,San Juan,Bathing,"FATAL, hip & thigh bitten with tissue removed, including bone",,,,,,,1920,F,,Unknown,Yes,Swimming/Wading,Unprovoked
05-Dec-1922,1922,AUSTRALIA,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,"FATAL, severe injuries to torso",09h15,"2.7 m [9'] ""blue"" shark",,,,,1920,M,19,18–29,Yes,Swimming/Wading,Unprovoked
29-Sep-1922,1922,BARBADOS,Lucy,Pie Corner,Fishing,FATAL,,,,,,,1920,M,16,0–17,Yes,Fishing,Unprovoked
29-Oct-1922,1922,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement prior to death unconfirmed,,,,,1920,M,,Unknown,Unknown,Boating,Questionable
28-Sep-1922,1922,USA,Hawaii,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging",Survived,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
Reported 26-Sep-1922,1922,ENGLAND,East Yorkshire,Hornsea,Swimming,FATAL,,,,,,,1920,M,,Unknown,Yes,Swimming/Wading,Unprovoked
Reported 21-Sep-1922,1922,USA,Massachusetts,Nahant,Fishing,"No injury to occupants, shark splintered stern",,"""A pack of 6 sharks""",,,,,1920,Unknown,,Unknown,No,Fishing,Watercraft
19-Jul-1922,1922,USA,Florida,"Pablo Beach, Jacksonville, Duval County",,Leg bitten,,,,,,,1920,M,,Unknown,No,Other/Unknown,Unprovoked
17-Jun-1922,1922,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",Floating,"FATAL, thigh bitten",,1.8 m [6'] shark,,,,,1920,F,18,18–29,Yes,Swimming/Wading,Unprovoked
24-May 1922,1922,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,"FATAL, arm severed, thigh severely bitten",10h00,6' shark,,,,,1920,M,19,18–29,Yes,Swimming/Wading,Unprovoked
06-May-1922,1922,SOUTH AFRICA,Western Cape Province,"Simon’s Town, False Bay",Swimming,Abdomen & thigh bitten,A.M.,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark",,,,,1920,M,18,18–29,No,Swimming/Wading,Unprovoked
26-Apr-1922,1922,AUSTRALIA,New South Wales,Hawkesbury River,Swimming,FATAL,,,,,,,1920,M,,Unknown,Yes,Swimming/Wading,Unprovoked
20-Mar-1922,1922,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,Survived,,,,,,,1920,M,,Unknown,No,Fishing,Unprovoked
13-Mar-1922,1922,JAMAICA,Kingston Parish,Kingston Harbor,Standing,"FATAL, right leg severed at thigh",,2.7 m [9'] shark later captured by Mitchell-Hedges,,,,,1920,F,14,0–17,Yes,Other/Unknown,Unprovoked
02-Mar-1922,1922,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",11h00,"White shark, 2.4 m [8']",,,,,1920,M,21,18–29,Yes,Swimming/Wading,Unprovoked
Reported 02-Feb-1922,1922,AUSTRALIA,New South Wales,"Bilgola Beach, Sydney",Swimming,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",,Shark involvement prior to death unconfirmed,,,,,1920,M,,Unknown,Unknown,Swimming/Wading,Questionable
04-Feb-1922,1922,AUSTRALIA,New South Wales,Coogee,Swimming,"FATAL, both arms & shoulder bitten",15h30,White shark,,,,,1920,M,18,18–29,Yes,Swimming/Wading,Unprovoked
Reported 28-Jan-1922,1922,IRAQ,,Shatt-al Arab River,Bathing,FATAL,,,,,,,1920,M,,Unknown,Yes,Swimming/Wading,Unprovoked
15-Jan-1922,1922,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming,FATAL,17h30,,,,,,1920,M,54,45–59,Yes,Swimming/Wading,Unprovoked
13-Jan-1922,1922,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing,Small laceration on left thigh & swim costume torn,18h00,Grey nurse shark?,,,,,1920,M,,Unknown,No,Other/Unknown,Unprovoked
04-Jan-1922,1922,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,"FATAL, disappeared, then his shark-bitten remains washed ashore",Evening,,,,,,1920,M,26,18–29,Yes,Surfing,Unprovoked
11-Dec-1921,1921,AUSTRALIA,Queensland,Fitzroy River at Rockhampton,Swimming,Survived,,,,,,,1920,M,20,18–29,No,Swimming/Wading,Unprovoked
27-Nov-1921,1921,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,"FATAL, disappeared, body not recovered",Morning,,,,,,1920,M,8,0–17,Yes,Other/Unknown,Unprovoked
27-Nov-1921,1921,AUSTRALIA,Queensland,"Gay’s Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son","Right hip, buttock, elbow, arm & wrist bitten",Morning,,,,,,1920,M,40,30–44,No,Swimming/Wading,Unprovoked
Reported 15-Nov-1921,1921,FIJI,Viti Levu Island,Rewa River,Swimming,FATAL,,,,,,,1920,Unknown,,Unknown,Yes,Swimming/Wading,Unprovoked
12-Oct-1921,1921,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer,Lacerations to right arm & chest,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
04-Oct-1921,1921,AUSTRALIA,Queensland,Barrier Reef,Diving for beche-de-mer,"Left thigh bitten, FATAL",Afternoon,,,,,,1920,M,22,18–29,Yes,Diving/Snorkeling,Unprovoked
Sep-1921,1921,ENGLAND,Dorset,Weymouth,Fishing,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,,"Blue shark, 4'",,,,,1920,M,,Unknown,No,Fishing,Provoked
Reported 29-Aug-1929,1921,AUSTRALIA,Torres Strait,,,Lacerations to arm,,,,,,,1920,M,,Unknown,No,Other/Unknown,Unprovoked
28-Aug-1921,1921,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,"FATAL, abdomen severely lacerated, taken by seaplane to hospital in Corrigedor but died",15h00,,,,,,1920,M,21,18–29,Yes,Swimming/Wading,Unprovoked
21-Jul-1921,1921,CUBA,,Havana Harbor,Fell overboard,FATAL,,,,,,,1920,M,,Unknown,Yes,Other/Unknown,Unprovoked
Reported 11-Jan-1921,1921,PHILIPPINES,"Cavite Province, Luzon",,,Buttons & shoes found in shark caught in fish trap,,Questionable,,,,,1920,Unknown,,Unknown,Unknown,Other/Unknown,Questionable
29-Nov-1920,1920,AUSTRALIA,Western Australia,Bunbury,Wading,Lacerations to leg & hand,,4' to 5' shark,,,,,1920,M,,Unknown,No,Swimming/Wading,Unprovoked
22-Aug-1921,1921,HAITI,Cape Haitien,Marine Dock,Dived into a school of baitfish,"FATAL, large wound on thigh",15h30,Comrades saw shark's tail appear about 5' away,,,,,1920,M,,Unknown,Yes,Fishing,Unprovoked
22-Nov-1920,1920,AUSTRALIA,Western Australia,Cottesloe Beach,Standing,"Minor injuries to leg, hand & fingers",,"15* to 24"" dog shark",,,,,1920,M,,Unknown,No,Other/Unknown,Unprovoked
04-Nov-1920,1920,PHILIPPINES,Leyte,,The coastwise steamer San Basilio capsized in a typhoon,FATAL,,,,,,,1920,M,,Unknown,Yes,Other/Unknown,Sea disaster
14-Jul-1920,1920,USA,New York,"Woodcliff Channel, Freeport, Long Island",Swimming,Thought to have been taken by a shark. Body was not recovered,,Questionable,,,,,1920,M,30,30–44,Unknown,Swimming/Wading,Questionable
Reported 06-Jul-1920,1920,AUSTRALIA,Torres Strait,200 miles from MacKay,Diving for trochus shell,Severe lacerations to right shoulder & arm,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
29-Jun-1920,1920,USA,Florida,"Englewood Beach, Charlotte County",Swimming,Knee & thigh bitten,18h30,,,,,,1920,M,13,0–17,No,Swimming/Wading,Unprovoked
27-Jun-1920,1920,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",,15',,,,,1920,Unknown,,Unknown,No,Other/Unknown,Provoked
08-Mar-1920,1920,AUSTRALIA,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore","Tossed in air by shark, sustained abrasions",,,,,,,1920,M,20,18–29,No,Swimming/Wading,Unprovoked
Reported 24-Jan-1920,1920,AUSTRALIA,Torres Strait,,Diving,Lacerations to foot,,,,,,,1920,M,,Unknown,No,Diving/Snorkeling,Unprovoked
03-Feb-1920,1920,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,Floating face down,Abdomen bitten,17h30,,,,,,1920,F,18,18–29,No,Swimming/Wading,Unprovoked
Reported 24-Jan-1920,1920,AUSTRALIA,Torres Strait,Arlington Reef,Free diving,FATAL,,,,,,,1920,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
15-Jan-1920,1920,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",Swimming,Leg bitten. FATAL,10h00,,,,,,1920,M,12,0–17,Yes,Swimming/Wading,Unprovoked
1920s,1920,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Jumped overboard,FATAL,,,,,,,1920,M,,Unknown,Yes,Other/Unknown,Unprovoked
1920,1920,NEW ZEALAND,North Island,"Stanley Bay, Auckland Harbor",,"""Recovered""",,,,,,,1920,F,,Unknown,No,Other/Unknown,Unprovoked
1920,1920,SOUTH AFRICA,KwaZulu-Natal,Tugela River,Splashing,Thigh & buttocks bitten. Not known if he survived.,,,,,,,1920,M,12,0–17,No,Other/Unknown,Unprovoked
Reported 30-Dec-1919,1919,AUSTRALIA,Queensland,Brible Island,Swimming,Lacerations to left leg,,,,,,,1910,M,29,18–29,No,Swimming/Wading,Unprovoked
07-Dec-1919,1919,AUSTRALIA,New South Wales,"Pelican Island, Macleay River",Swimming,"FATAL, left leg & calf bitten, leg surgically amputated",05h30,,,,,,1910,M,47,45–59,Yes,Swimming/Wading,Unprovoked
18-Nov-1919,1919,AUSTRALIA,Northern Territory,Darwin,Sitting in a boat,Lacerations to buttocks,,,,,,,1910,M,,Unknown,No,Boating,Unprovoked
12-Sep-1919,1919,COSTA RICA,Turtle Bogue,Where Colorado River enters the sea,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned. The 7 survivors were swimming to shore,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",,,,,,,1910,M,,Unknown,Yes,Swimming/Wading,Unprovoked
10-Aug-1919,1919,USA,Florida,"Gadsden Point, Tampa Bay",Swimming,Laceration to left thigh,Afternoon,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
29-May-1919,1919,USA,South Carolina,"James Island Sound, Charleston","""Swimming vigorously""",Left foot bitten & abraded,12h00,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
06-Apr-1919,1919,USA,Florida,"Florida Keys 25oN,82oW",Knocked into the water,FATAL,,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum",,,,,1910,M,,Unknown,Yes,Other/Unknown,Unprovoked
16-Mar-1919,1919,AUSTRALIA,New South Wales,Sydney Harbor,Cutter capsized,Shark involvement not confirmed,Late afternon,Shark involvement prior to death unconfirmed,,,,,1910,M,,Unknown,Unknown,Other/Unknown,Questionable
17-Jan-1919,1919,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,"Multiple injuries, left leg surgically amputated at knee",17h15,3.7 m to 4.3 m [12' to 14'] shark,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
15-Jan-1919,1919,NEW ZEALAND,South Island,"Tahuna Beach, Nelson",Swimming,Leg bitten,Afternoon,,,,,,1910,F,,Unknown,No,Swimming/Wading,Unprovoked
09-Jan-1919,1919,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Wading,"FATAL, right thigh bitten",07h30,12' shark,,,,,1910,M,13,0–17,Yes,Swimming/Wading,Unprovoked
05-Jan-1919,1919,AUSTRALIA,Queensland,"Ross River, Townsville",Wading (shrimping),"FATAL, thigh bitten, leg amputated",10h00,,,,,,1910,M,38,30–44,Yes,Swimming/Wading,Unprovoked
Reported to have taken place in 1919,1919,ITALY,,Savona,Fishing,No injury,,13' shark,,,,,1910,M,,Unknown,No,Fishing,Watercraft
1919,1919,USA,Florida,"Near Panama City, Bay County",Swimming,Leg severed,,,,,,,1910,F,,Unknown,No,Swimming/Wading,Unprovoked
Nov-1918,1918,USA,Hawaii,Papaikou plantation,Fishing,FATAL,,,,,,,1910,M,,Unknown,Yes,Fishing,Unprovoked
Nov-1918,1918,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,"FATAL, ""men snatched from rafts by sharks""",,"Tiger sharks, 2.4 m to 4.9 m [8' to 16']",,,,,1910,M,,Unknown,Yes,Boating,Sea disaster
19-Sep-1918,1918,AUSTRALIA,Queensland,Townsville,Bathing,FATAL,,,,,,,1910,M,22,18–29,Yes,Swimming/Wading,Unprovoked
22-Mar-1918,1918,AUSTRALIA,New South Wales,Newcastle,Surfing,"Severe laceration to arm, necessitating surgical amputation at the elbow",18h00,12' shark,,,,,1910,M,,Unknown,No,Surfing,Unprovoked
1918,1918,AUSTRALIA,Queensland,Near Cairns,Diving,Survived,,,,,,,1910,M,,Unknown,No,Diving/Snorkeling,Unprovoked
15-Dec-1917,1917,AUSTRALIA,Western Australia,Port Hedland,Swimming,Lacerations to left leg,05h00,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
Nov-1917,1917,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Wreck of the tug Magellan,FATAL,Night,,,,,,1910,M,,Unknown,Yes,Other/Unknown,Unprovoked
21-Sep-1917,1917,USA,New Jersey,"Sea Bright, Monmouth County","Swimming, towing an empty barrel",Left knee lacerated,,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
09-Sep-1917,1917,USA,Hawaii,"Nanakuli, Oah’u",Stuffing a shark into an automobile,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,,12' shark,,,,,1910,M,,Unknown,No,Other/Unknown,Provoked
Sep-1917,1917,PANAMA,Colon,,Swimming to shore from the Medic,FATAL,,,,,,,1910,M,,Unknown,Yes,Swimming/Wading,Unprovoked
Reported 19-Aug-1917,1917,USA,Mississippi,,,Leg bitten,,,,,,,1910,M,,Unknown,No,Other/Unknown,Unprovoked
18-Jul-1917,1917,USA,Florida,Florida Keys,Diving,FATAL,Afternoon,,,,,,1910,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
15-Jul-1917,1917,IRELAND,Off Ireland,82 miles from Fastnet,Ship Mariston torpedoed & sunk,"FATAL, only 1 survivor",Morning,,,,,,1910,M,,Unknown,Yes,Boating,Sea disaster
03-Jun-1917,1917,USA,South Carolina,Calibogue Sound,Swimming beside launch,Right arm bitten,P.M.,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
31-May-1917,1917,PHILIPPINES,Luzon Island,Canacao Bay,Swimming,"FATAL, abdominal cavity removed",17h45,,,,,,1910,M,,Unknown,Yes,Swimming/Wading,Unprovoked
Reported 05-May-1917,1917,KUWAIT,,,Diving for pearls,Torso bitten,,,,,,,1910,M,,Unknown,No,Diving/Snorkeling,Unprovoked
1917,1917,LIBYA,Mediterranean Sea,Tripoli,Diving for sponges,"Bitten by shark, but repelled it with his 'skandalopetra'",,,,,,,1910,M,,Unknown,No,Diving/Snorkeling,Unprovoked
30-Dec-1916,1916,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",Bathing,Right calf bitten,A.M.,,,,,,1910,M,25,18–29,No,Swimming/Wading,Unprovoked
08-Dec-1916,1916,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,"FATAL, right arm severed, chest punctured",09h00,,,,,,1910,M,41,30–44,Yes,Other/Unknown,Unprovoked
08-Dec-1916,1916,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Swimming 10 m from shore,Leg nipped by shark,08h58,,,,,,1910,F,,Unknown,No,Swimming/Wading,Unprovoked
15-Nov-1916,1916,PANAMA,,Panama Canal,,"""Severely bitten""",,,,,,,1910,M,,Unknown,No,Other/Unknown,Provoked
10-Nov-1916,1916,AUSTRALIA,Queensland,Townsville,Swimming,FATAL,06h00,,,,,,1910,M,,Unknown,Yes,Swimming/Wading,Unprovoked
09-Nov-1916,1916,AUSTRALIA,Queensland,"Kissing Point Camp, Townsville",Bathing,FATAL,Evening,,,,,,1910,M,27,18–29,Yes,Swimming/Wading,Unprovoked
11-Oct-1916,1916,USA,Florida,"Sewell’s Point, near Palm Beach","Fishing, attempted to take a netted shark","FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",,,,,,,1910,M,,Unknown,Yes,Fishing,Provoked
 24-Aug-1916,1916,USA,Louisiana,"off Grand Lake, Cameron Parish",Shrimping,Left calf severely bitten & became septic but he survived,Afternoon,,,,,,1910,M,,Unknown,No,Other/Unknown,Unprovoked
26-Jul-1916,1916,USA,North Carolina,"Atlantic, near New Bern, Craven County",Fishing,Arm severely lacerated,,,,,,,1910,M,,Unknown,No,Fishing,Unprovoked
13-Jul-1916,1916,USA,New York,"Sheepshead Bay, Brooklyn",Swimming,"No attack, no injury",10h00,,,,,,1910,F,,Unknown,Unknown,Swimming/Wading,Questionable
13-Jul-1916,1916,USA,New York,"Sheepshead Bay, Brooklyn",Swimming,Ankle bruised,,,,,,,1910,M,,Unknown,No,Swimming/Wading,Unprovoked
12-Jul-1916,1916,USA,New Jersey,"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County",Swimming,"Lower left leg bitten, surgically amputated",,Said to involve a 2.7 m [9'] shark,,,,,1910,M,12,0–17,No,Swimming/Wading,Unprovoked
